UserId,AccountDate,AnswerDate,AnswerId
"17965","2008-09-18 16:56:43","2009-04-07 19:12:06","1339939"
"17965","2008-09-18 16:56:43","2009-04-07 19:13:41","1339956"
"4234","2008-09-02 13:28:31","2009-04-07 19:28:44","1340042"
"4234","2008-09-02 13:28:31","2009-04-07 19:28:44","1340042"
"38971","2008-11-19 15:17:15","2009-04-07 20:33:23","1340505"
"70702","2009-02-25 06:04:12","2009-04-08 01:48:46","1342000"
"70702","2009-02-25 06:04:12","2009-04-08 07:37:13","1343358"
"3241","2008-08-27 14:23:16","2009-04-08 08:32:20","1343664"
"38971","2008-11-19 15:17:15","2009-04-08 12:09:54","1344932"
"38971","2008-11-19 15:17:15","2009-04-08 12:14:01","1344944"
"38971","2008-11-19 15:17:15","2009-04-08 12:21:13","1344991"
"3241","2008-08-27 14:23:16","2009-04-08 13:51:45","1345801"
"38971","2008-11-19 15:17:15","2009-04-08 13:52:53","1345810"
"38971","2008-11-19 15:17:15","2009-04-08 13:56:51","1345856"
"38971","2008-11-19 15:17:15","2009-04-08 13:59:20","1345874"
"76701","2009-03-11 15:16:25","2009-04-08 14:53:31","1346341"
"76701","2009-03-11 15:16:25","2009-04-08 15:06:48","1346485"
"76701","2009-03-11 15:16:25","2009-04-08 15:55:06","1346920"
"3241","2008-08-27 14:23:16","2009-04-08 16:24:43","1347170"
"38971","2008-11-19 15:17:15","2009-04-08 17:04:46","1347430"
"38971","2008-11-19 15:17:15","2009-04-08 17:11:14","1347464"
"38971","2008-11-19 15:17:15","2009-04-08 17:18:37","1347522"
"1343","2008-08-14 15:46:01","2009-04-08 18:07:01","1347916"
"1343","2008-08-14 15:46:01","2009-04-08 18:07:01","1347916"
"38971","2008-11-19 15:17:15","2009-04-08 19:52:51","1348851"
"38971","2008-11-19 15:17:15","2009-04-08 20:53:05","1349318"
"76701","2009-03-11 15:16:25","2009-04-08 21:44:44","1349723"
"79708","2009-03-18 20:16:19","2009-04-08 22:18:02","1349925"
"3397298","2014-03-09 00:11:34","2015-06-14 14:03:39","92798651"
"1106247","2011-12-19 16:00:45","2015-06-14 14:12:31","92799040"
"2483127","2013-06-13 16:38:21","2015-06-14 14:25:39","92799530"
"2483127","2013-06-13 16:38:21","2015-06-14 14:25:39","92799530"
"3828908","2012-09-09 12:55:46","2015-06-14 15:25:49","92801912"
"1687633","2012-09-21 02:30:17","2015-06-14 16:02:49","92803383"
"3397298","2014-03-09 00:11:34","2015-06-14 16:16:43","92804016"
"4157666","2014-10-18 21:51:59","2015-06-14 16:51:30","92805357"
"4157666","2014-10-18 21:51:59","2015-06-14 16:51:30","92805357"
"3565829","2014-04-23 18:02:38","2015-06-14 16:55:03","92805534"
"3360241","2014-02-27 11:31:50","2015-06-14 17:15:06","92806334"
"3360241","2014-02-27 11:31:50","2015-06-14 17:15:06","92806334"
"3378649","2014-03-04 10:38:39","2015-06-14 17:40:34","92807365"
"3378649","2014-03-04 10:38:39","2015-06-14 17:40:34","92807365"
"3378649","2014-03-04 10:38:39","2015-06-14 17:40:34","92807365"
"3378649","2014-03-04 10:38:39","2015-06-14 17:40:34","92807365"
